source_raw_table,source_raw_property,source_property_description,target_type,target_property,target_property_data_type,target_property_description,transformation_formula,is_direct_relation,LCI Scope,IX Scope,Aize Scope,is_required,target_data_model,target_instance_space,target_type_version,target_data_model_version
comos_object_eng_id,AreaCode,area code,CFIHOS_1_10000001_10000101_1,CFIHOS_10000001,String,area code,CASE WHEN `Project` = 'Valhall' THEN CASE WHEN `Facility` = '19' THEN CONCAT('PWP.'. `AreaCode`) ELSE `AreaCode` END WHEN `Project` = 'NOA+F' THEN CASE WHEN `Facility` LIKE 'O%' OR `Facility` LIKE 'P%' OR `Facility` LIKE 'Q%' THEN CASE WHEN INSTR(`ENG903.ENGA0654`. '-') > 0 THEN SUBSTRING(`ENG903.ENGA0654`. 1. INSTR(`ENG903.ENGA0654`. '-') - 1) ELSE `ENG903.ENGA0493` END ELSE `ENG903.ENGA0493` END ELSE NULL END,FALSE,x,,,FALSE,,,1,1
comos_object_eng_id,AreaCode,area code,CFIHOS_1_10000001_10000101_1,CFIHOS_10000001_rel,JSONObject,area code,key,TRUE,,,,FALSE,,,1,1
comos_object_eng_id,Facility,FACILITYNAME,CFIHOS_1_10000001_10000101_1,CFIHOS_10000005,String,plant code,,FALSE,x,,,FALSE,,,1,1
